method_for_feature_extraction,number_of_extracted_components,Machine_Learning_Model_1,1_Average_Accuracy,1_Average_Recall,1_Average_Precision,1_Average_F1_score,1_confusion_matrix,Machine_Learning_Model_2,2_Average_Accuracy,2_Average_Recall,2_Average_Precision,2_Average_F1_score,2_confusion_matrix,Machine_Learning_Model_3,3_Average_Accuracy,3_Average_Recall,3_Average_Precision,3_Average_F1_score,3_confusion_matrix
Kernel PCA,12,Random Forest,0.8291100123609394,0.869592088998764,0.8044596912521441,0.8357588357588357,"255.2,68.4,42.2,281.4",XGBoost,0.7841470951792335,0.8275648949320148,0.7614444128518623,0.7931289797127203,"239.7,83.9,55.8,267.8",K-Nearest Neighbors,0.7878553770086526,0.9224351050679851,0.7268078889700511,0.8130192019610513,"211.4,112.2,25.1,298.5"
Kernel PCA,13,Random Forest,0.8294190358467244,0.877317676143387,0.8006204173716864,0.8372161604246534,"252.9,70.7,39.7,283.9",XGBoost,0.7841470951792335,0.8275648949320148,0.7614444128518623,0.7931289797127203,"239.7,83.9,55.8,267.8",K-Nearest Neighbors,0.7878553770086526,0.9224351050679851,0.7268078889700511,0.8130192019610513,"211.4,112.2,25.1,298.5"
Kernel PCA,14,Random Forest,0.8359085290482076,0.8794808405438813,0.808982376350199,0.8427598460171749,"256.4,67.2,39.0,284.6",XGBoost,0.7841470951792335,0.8275648949320148,0.7614444128518623,0.7931289797127203,"239.7,83.9,55.8,267.8",K-Nearest Neighbors,0.7878553770086526,0.9224351050679851,0.7268078889700511,0.8130192019610513,"211.4,112.2,25.1,298.5"
Projection Pursuit Analysis,4,Random Forest,0.7569530284301607,0.8022249690976514,0.7356191555681496,0.7674796747967481,"230.3,93.3,64.0,259.6",XGBoost,0.7197156983930778,0.7666872682323856,0.7008474576271186,0.7322904368358913,"217.7,105.9,75.5,248.1",K-Nearest Neighbors,0.725123609394314,0.8087144622991348,0.6928779454593593,0.7463282475402824,"207.6,116.0,61.9,261.7"
Projection Pursuit Analysis,5,Random Forest,0.7679233621755253,0.8176761433868974,0.7436762225969646,0.7789225787459523,"232.4,91.2,59.0,264.6",XGBoost,0.7328491965389369,0.7821384425216316,0.7119549929676512,0.745398321307613,"221.2,102.4,70.5,253.1",K-Nearest Neighbors,0.7473733003708282,0.8491965389369592,0.7055198973042363,0.7707193941943626,"208.9,114.7,48.8,274.8"
Projection Pursuit Analysis,6,Random Forest,0.7975896168108776,0.8451792336217552,0.7717268623024831,0.8067846607669616,"242.7,80.9,50.1,273.5",XGBoost,0.7526266996291718,0.7914091470951793,0.734442213937482,0.761862263870296,"231.0,92.6,67.5,256.1",K-Nearest Neighbors,0.7584981458590851,0.8714462299134733,0.7108646332240989,0.7830070803831736,"208.9,114.7,41.6,282.0"
Projection Pursuit Analysis,7,Random Forest,0.8244746600741656,0.8686650185414092,0.7981260647359455,0.8319029298609055,"252.5,71.1,42.5,281.1",XGBoost,0.7784301606922126,0.8281829419035847,0.7532321528948848,0.7889314100677068,"235.8,87.8,55.6,268.0",K-Nearest Neighbors,0.7762669962917181,0.9057478368355996,0.719440353460972,0.8019151846785226,"209.3,114.3,30.5,293.1"
Projection Pursuit Analysis,8,Random Forest,0.811186650185414,0.8606304079110012,0.7831833520809899,0.8200824499411071,"246.5,77.1,45.1,278.5",XGBoost,0.7759579728059331,0.818912237330037,0.7541263517359136,0.7851851851851852,"237.2,86.4,58.6,265.0",K-Nearest Neighbors,0.7671508034610631,0.8958590852904821,0.7124600638977635,0.7937029431895961,"206.6,117.0,33.7,289.9"
Projection Pursuit Analysis,9,Random Forest,0.8218479604449938,0.8674289245982695,0.7949589351458509,0.8296143047140535,"251.2,72.4,42.9,280.7",XGBoost,0.7731767614338689,0.819221260815822,0.7501414827391059,0.7831610044313146,"235.3,88.3,58.5,265.1",K-Nearest Neighbors,0.7730222496909764,0.9072929542645242,0.7152253349573691,0.7998910230213868,"206.7,116.9,30.0,293.6"
Projection Pursuit Analysis,10,Random Forest,0.8274103831891223,0.8745364647713225,0.799209262920079,0.835177807289361,"252.5,71.1,40.6,283.0",XGBoost,0.7847651421508034,0.8322002472187886,0.7600903189387525,0.7945124649653342,"238.6,85.0,54.3,269.3",K-Nearest Neighbors,0.7722496909765142,0.9110012360939431,0.7131107885824868,0.8,"205.0,118.6,28.8,294.8"
Projection Pursuit Analysis,11,Random Forest,0.8224660074165635,0.8733003708281829,0.7927068723702665,0.831054256726952,"249.7,73.9,41.0,282.6",XGBoost,0.7904820766378244,0.838380716934487,0.7650874224478286,0.8000589796520202,"240.3,83.3,52.3,271.3",K-Nearest Neighbors,0.7779666254635351,0.9088380716934487,0.7203036982610825,0.8036617024183631,"209.4,114.2,29.5,294.1"
Projection Pursuit Analysis,12,Random Forest,0.830655129789864,0.8760815822002471,0.8031161473087819,0.8380135973987585,"254.1,69.5,40.1,283.5",XGBoost,0.7961990111248455,0.8365265760197775,0.7740920789247927,0.8040992128323184,"244.6,79.0,52.9,270.7",K-Nearest Neighbors,0.7730222496909765,0.907601977750309,0.7151205259313367,0.7999455263516274,"206.6,117.0,29.9,293.7"
Projection Pursuit Analysis,13,Random Forest,0.8221569839307787,0.8711372064276885,0.793414016324233,0.8304610399175136,"250.2,73.4,41.7,281.9",XGBoost,0.7912546353522868,0.8399258343634116,0.7654181920585751,0.800942979224989,"240.3,83.3,51.8,271.8",K-Nearest Neighbors,0.7779666254635351,0.9106922126081582,0.7196581196581197,0.8039830855272133,"208.8,114.8,28.9,294.7"
Projection Pursuit Analysis,14,Random Forest,0.8342088998763905,0.8720642768850433,0.810686584314852,0.8402560666964419,"257.7,65.9,41.4,282.2",XGBoost,0.7992892459826946,0.850123609394314,0.7716690042075737,0.8089986766651963,"242.2,81.4,48.5,275.1",K-Nearest Neighbors,0.7870828182941902,0.9205809641532757,0.7265853658536585,0.8121592148309704,"211.5,112.1,25.7,297.9"
